DRV10983ZPWP;DA261   
RESA-0804V-4x_10.0k_5%;RA643   
RESA-0804V-4x_10.0k_5%;RA443   
RESA-0804V-4x_10.0k_5%;RA343   
RESA-0804V-4x_10.0k_5%;RA243   
RESA-0804V-4x_10.0k_5%;RA742   
RESA-0804V-4x_10.0k_5%;RA642   
RESA-0804V-4x_10.0k_5%;RA542   
RESA-0804V-4x_10.0k_5%;RA442   
RESA-0804V-4x_10.0k_5%;RA342   
RESA-0804V-4x_10.0k_5%;RA242   
CAP-0402_15p_5%_NP0_50V;C241   
CAP-0402_15p_5%_NP0_50V;C742   
CAP-0402_15p_5%_NP0_50V;C642   
CAP-0402_15p_5%_NP0_50V;C542   
CAP-0402_15p_5%_NP0_50V;C341   
CAP-0402_15p_5%_NP0_50V;C441   
CAP-0402_15p_5%_NP0_50V;C342   
CAP-0402_15p_5%_NP0_50V;C242   
CAP-0402_15p_5%_NP0_50V;C741   
CAP-0402_15p_5%_NP0_50V;C641   
CAP-0402_15p_5%_NP0_50V;C541   
CAP-0402_15p_5%_NP0_50V;C442   
CAP-0402_2.2u__X5R_6.3V;C344   
CAP-0402_2.2u__X5R_6.3V;C345   
CAP-0402_2.2u__X5R_6.3V;C744   
CAP-0402_2.2u__X5R_6.3V;C644   
CAP-0402_2.2u__X5R_6.3V;C544   
CAP-0402_2.2u__X5R_6.3V;C444   
CAP-0402_2.2u__X5R_6.3V;C244   
CAP-0402_2.2u__X5R_6.3V;C745   
CAP-0402_2.2u__X5R_6.3V;C645   
CAP-0402_2.2u__X5R_6.3V;C545   
CAP-0402_2.2u__X5R_6.3V;C445   
CAP-0402_2.2u__X5R_6.3V;C245   
CAP-0402_2.2u__X5R_6.3V;C208   
CAP-0402_2.2u__X5R_6.3V;C308   
CAP-0402_2.2u__X5R_6.3V;C408   
CAP-0402_2.2u__X5R_6.3V;C708   
CAP-0402_2.2u__X5R_6.3V;C608   
CAP-0402_2.2u__X5R_6.3V;C508   
RES-0402_4.99k_1%;R741   
RES-0402_4.99k_1%;R641   
RES-0402_4.99k_1%;R541   
RES-0402_4.99k_1%;R441   
RES-0402_4.99k_1%;R341   
RES-0402_4.99k_1%;R241   
DFLT12A-7;VD200   
Si8409DB;VT202   
MAX809SQ263G;DD741   
MAX809SQ263G;DD641   
MAX809SQ263G;DA541   
MAX809SQ263G;DD441   
MAX809SQ263G;DD341   
MAX809SQ263G;DD241   
DRV10975PWPR;DA761   
DRV10975PWPR;DA661   
DRV10975PWPR;DA561   
DRV10975PWPR;DA461   
DRV10975PWPR;DA361   
CAP-0402_100n_10%_X7R_16V;C662   
CAP-0402_100n_10%_X7R_16V;C562   
CAP-0402_100n_10%_X7R_16V;C762   
CAP-0402_100n_10%_X7R_16V;C209   
CAP-0402_100n_10%_X7R_16V;C309   
CAP-0402_100n_10%_X7R_16V;C409   
CAP-0402_100n_10%_X7R_16V;C709   
CAP-0402_100n_10%_X7R_16V;C609   
CAP-0402_100n_10%_X7R_16V;C509   
CAP-0402_100n_10%_X7R_16V;C669   
CAP-0402_100n_10%_X7R_16V;C569   
CAP-0402_100n_10%_X7R_16V;C769   
CAP-0402_100n_10%_X7R_16V;C767   
CAP-0402_100n_10%_X7R_16V;C667   
CAP-0402_100n_10%_X7R_16V;C567   
CAP-0402_100n_10%_X7R_16V;C765   
CAP-0402_100n_10%_X7R_16V;C565   
CAP-0402_100n_10%_X7R_16V;C665   
PLD2-60S;XP101   
SN65HVD233D;DD301   
SN65HVD233D;DD401   
SN65HVD233D;DD701   
SN65HVD233D;DD601   
SN65HVD233D;DD702   
SN65HVD233D;DD602   
SN65HVD233D;DD402   
SN65HVD233D;DD302   
SN65HVD233D;DD202   
SN65HVD233D;DD502   
SN65HVD233D;DD501   
SN65HVD233D;DD201   
FPF2101;DA304   
FPF2101;DA404   
FPF2101;DA504   
FPF2101;DA204   
FPF2101;DA704   
FPF2101;DA604   
FPF2101;DA205   
FPF2101;DA305   
FPF2101;DA405   
FPF2101;DA705   
FPF2101;DA605   
FPF2101;DA505   
BLM18HE102SN1;ZC701   
BLM18HE102SN1;ZC601   
BLM18HE102SN1;ZC501   
BLM18HE102SN1;ZC401   
BLM18HE102SN1;ZC301   
BLM18HE102SN1;ZC201   
LMZ21700SILR;DA201   
LMZ21700SILR;DA301   
LMZ21700SILR;DA401   
LMZ21700SILR;DA701   
LMZ21700SILR;DA601   
LMZ21700SILR;DA501   
CAP-0805_10u_10%_X6S_25V;C703   
CAP-0805_10u_10%_X6S_25V;C603   
CAP-0805_10u_10%_X6S_25V;C503   
CAP-0805_10u_10%_X6S_25V;C203   
CAP-0805_10u_10%_X6S_25V;C303   
CAP-0805_10u_10%_X6S_25V;C403   
CAP-0805_10u_10%_X6S_25V;C702   
CAP-0805_10u_10%_X6S_25V;C602   
CAP-0805_10u_10%_X6S_25V;C502   
CAP-0805_10u_10%_X6S_25V;C202   
CAP-0805_10u_10%_X6S_25V;C302   
CAP-0805_10u_10%_X6S_25V;C402   
LP2985AIM5-5.0;DA202   
LP2985AIM5-5.0;DA302   
LP2985AIM5-5.0;DA402   
LP2985AIM5-5.0;DA702   
LP2985AIM5-5.0;DA602   
LP2985AIM5-5.0;DA502   
LTC4412HS6;DA403   
LTC4412HS6;DA303   
LTC4412HS6;DA503   
LTC4412HS6;DA603   
LTC4412HS6;DA703   
LTC4412HS6;DA203   
CAP-0402_3.3n_10%_X7R_50V;C204   
CAP-0402_3.3n_10%_X7R_50V;C304   
CAP-0402_3.3n_10%_X7R_50V;C404   
CAP-0402_3.3n_10%_X7R_50V;C704   
CAP-0402_3.3n_10%_X7R_50V;C604   
CAP-0402_3.3n_10%_X7R_50V;C504   
RES-0402_10.0k_1%;R201   
RES-0402_10.0k_1%;R701   
RES-0402_10.0k_1%;R401   
RES-0402_10.0k_1%;R301   
RES-0402_10.0k_1%;R501   
RES-0402_10.0k_1%;R601   
RES-0402_301k_1%;R203   
RES-0402_301k_1%;R303   
RES-0402_301k_1%;R403   
RES-0402_301k_1%;R703   
RES-0402_301k_1%;R603   
RES-0402_301k_1%;R503   
CAP-0402_100n_10%_X7R_50V;C449   
CAP-0402_100n_10%_X7R_50V;C448   
CAP-0402_100n_10%_X7R_50V;C446   
CAP-0402_100n_10%_X7R_50V;C447   
CAP-0402_100n_10%_X7R_50V;C349   
CAP-0402_100n_10%_X7R_50V;C348   
CAP-0402_100n_10%_X7R_50V;C347   
CAP-0402_100n_10%_X7R_50V;C346   
CAP-0402_100n_10%_X7R_50V;C249   
CAP-0402_100n_10%_X7R_50V;C248   
CAP-0402_100n_10%_X7R_50V;C247   
CAP-0402_100n_10%_X7R_50V;C246   
CAP-0402_100n_10%_X7R_50V;C749   
CAP-0402_100n_10%_X7R_50V;C748   
CAP-0402_100n_10%_X7R_50V;C747   
CAP-0402_100n_10%_X7R_50V;C746   
CAP-0402_100n_10%_X7R_50V;C649   
CAP-0402_100n_10%_X7R_50V;C648   
CAP-0402_100n_10%_X7R_50V;C646   
CAP-0402_100n_10%_X7R_50V;C647   
CAP-0402_100n_10%_X7R_50V;C549   
CAP-0402_100n_10%_X7R_50V;C548   
CAP-0402_100n_10%_X7R_50V;C547   
CAP-0402_100n_10%_X7R_50V;C546   
CAP-0402_100n_10%_X7R_50V;C362   
CAP-0402_100n_10%_X7R_50V;C462   
CAP-0402_100n_10%_X7R_50V;C262   
CAP-0402_100n_10%_X7R_50V;C369   
CAP-0402_100n_10%_X7R_50V;C469   
CAP-0402_100n_10%_X7R_50V;C269   
CAP-0402_100n_10%_X7R_50V;C701   
CAP-0402_100n_10%_X7R_50V;C601   
CAP-0402_100n_10%_X7R_50V;C501   
CAP-0402_100n_10%_X7R_50V;C401   
CAP-0402_100n_10%_X7R_50V;C301   
CAP-0402_100n_10%_X7R_50V;C201   
CAP-0402_100n_10%_X7R_50V;C265   
CAP-0402_100n_10%_X7R_50V;C367   
CAP-0402_100n_10%_X7R_50V;C467   
CAP-0402_100n_10%_X7R_50V;C365   
CAP-0402_100n_10%_X7R_50V;C465   
CAP-0402_100n_10%_X7R_50V;C267   
CAP-0402_100n_10%_X7R_50V;C207   
CAP-0402_100n_10%_X7R_50V;C307   
CAP-0402_100n_10%_X7R_50V;C407   
CAP-0402_100n_10%_X7R_50V;C707   
CAP-0402_100n_10%_X7R_50V;C607   
CAP-0402_100n_10%_X7R_50V;C507   
CAP-0402_100n_10%_X7R_50V;C743   
CAP-0402_100n_10%_X7R_50V;C643   
CAP-0402_100n_10%_X7R_50V;C543   
CAP-0402_100n_10%_X7R_50V;C443   
CAP-0402_100n_10%_X7R_50V;C343   
CAP-0402_100n_10%_X7R_50V;C243   
IRLML6402TRPbF;VT201   
IRLML6402TRPbF;VT701   
IRLML6402TRPbF;VT601   
IRLML6402TRPbF;VT501   
IRLML6402TRPbF;VT401   
IRLML6402TRPbF;VT301   
ESD5Z12T1G;VD701   
ESD5Z12T1G;VD601   
ESD5Z12T1G;VD501   
ESD5Z12T1G;VD401   
ESD5Z12T1G;VD301   
ESD5Z12T1G;VD201   
BZT52C3V9S;VD661   
BZT52C3V9S;VD561   
BZT52C3V9S;VD461   
BZT52C3V9S;VD361   
BZT52C3V9S;VD261   
BZT52C3V9S;VD761   
CAP-0603_4.7u_20%_X5R_16V;C266   
CAP-0603_4.7u_20%_X5R_16V;C766   
CAP-0603_4.7u_20%_X5R_16V;C666   
CAP-0603_4.7u_20%_X5R_16V;C566   
CAP-0603_4.7u_20%_X5R_16V;C466   
CAP-0603_4.7u_20%_X5R_16V;C366   
RES-0402_0;R766   
RES-0402_0;R666   
RES-0402_0;R566   
RES-0402_0;R466   
RES-0402_0;R366   
RES-0402_0;R266   
PLL-1.27-30;SXP102   
